School,Name,Address,Website,Type,Awards offered,Campus setting,Campus housing,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Cohort Year,Net Price,Largest Program,IPEDS ID,OPE ID
Arizona,University of Arizona,"1401 E University, Tucson, Arizona 85721-0066",https://www.arizona.edu,"4-year, Public",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,44097,34153,0.64,0.19,Fall 2012,"$15,594 ",-,104179,108300
Air Force,United States Air Force Academy,"2304 Cadet Drive, Suite 3800, USAF Academy, Colorado 80840-5002",www.usafa.edu,"4-year, Public",Bachelor's degree,Town: Fringe,Yes,4336,4336,0,0,Fall 2012,0,-,128328,136900
Akron,University of Akron Main Campus,"302 Buchtel Common, Akron, Ohio 44325-4702",www.uakron.edu,"4-year, Public",Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,18731,15634,0.39,0.15,Fall 2012,"$16,269 ",-,200800,312300
Alabama,The University of Alabama,"739 University Blvd, Tuscaloosa, Alabama 35487-0100",www.ua.edu/,"4-year, Public",Bachelor's degree;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,38390,33028,0.72,0.19,Fall 2012,"$20,465 ",-,100751,105100
Alabama at Birmingham,University of Alabama at Birmingham,"Administration Bldg Suite 1070, Birmingham, Alabama 35294-0110",https://www.uab.edu,"4-year, Public",One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice;Doctor's degree - other,City: Midsize,Yes,21923,13836,0.58,0.22,Fall 2012,"$16,636 ",-,100663,105200
Arkansas,University of Arkansas,"Administration Bldg 425, Fayetteville, Arkansas 72701",https://www.uark.edu,"4-year, Public",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Small,Yes,27778,23386,0.66,0,Fall 2012,"$15,781 ",-,106397,110800
Arkansas State,Arkansas State University-Main Campus,"2105 E. Aggie Road, Jonesboro, Arkansas 72401",www.astate.edu/,"4-year, Public",Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Small,Yes,13709,9350,0.48,0.26,Fall 2012,"$13,459 ",-,106458,109000
Army,United States Military Academy,"646 Swift Rd (ATTN: MASG), West Point, New York 10996-1905",www.westpoint.edu,"4-year, Public",Bachelor's degree,Town: Fringe,Yes,4589,4589,0.85,0.04,Fall 2012,0,-,197036,289300
Auburn,Auburn University,"Auburn, Alabama 36849",www.auburn.edu,"4-year, Public",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice;Doctor's degree - other,City: Small,Yes,30440,24628,0.78,0.14,Fall 2012,"$23,205 ",-,100858,100900
Ball State,Ball State University,"2000 University Ave, Muncie, Indiana 47306",www.bsu.edu,"4-year, Public",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Small,Yes,21884,16160,0.63,0.25,Fall 2012,"$13,642 ",-,150136,178600
